name_of_city,state_code,state_name,dist_code,population_total,population_male,population_female,0-6_population_total,0-6_population_male,0-6_population_female,literates_total,literates_male,literates_female,sex_ratio,child_sex_ratio,effective_literacy_rate_total,effective_literacy_rate_male,effective_literacy_rate_female,location,total_graduates,male_graduates,female_graduates
Abohar ,3,PUNJAB,9,145238,76840,68398,15870,8587,7283,103319,58347,44972,890,848,79.86,85.49,73.59,"30.1452928,74.1993043",16287,8612,7675
Achalpur ,27,MAHARASHTRA,7,112293,58256,54037,11810,6186,5624,92433,49347,43086,928,909,91.99,94.77,89,"21.257584,77.5086754",8863,5269,3594
Adilabad ,28,ANDHRA PRADESH,1,117388,59232,58156,13103,6731,6372,83955,46295,37660,982,947,80.51,88.18,72.73,"19.0809075,79.560344",10565,6797,3768
Adityapur ,20,JHARKHAND,24,173988,91495,82493,23042,12063,10979,125985,71470,54515,902,910,83.46,89.98,76.23,"22.7834741,86.1576889",19225,12189,7036
Adoni ,28,ANDHRA PRADESH,21,166537,82743,83794,18406,9355,9051,101292,56203,45089,1013,968,68.38,76.58,60.33,"15.6322227,77.2728368",11902,7871,4031
Agartala ,16,TRIPURA,1,399688,199616,200072,33635,17341,16294,343633,174524,169109,1002,940,93.88,95.75,92.02,"23.831457,91.2867777",52711,30215,22496
Agra ,9,UTTAR PRADESH,15,1574542,849771,724771,186516,105279,81237,880530,503805,376725,853,772,63.44,67.67,58.54,"27.1766701,78.0080745",185813,106082,79731
Ahmadabad ,24,GUJARAT,7,5570585,2935869,2634716,589076,317917,271159,4464303,2459823,2004480,897,853,89.62,93.96,84.81,"23.022505,72.5713621",769858,435267,334591
Ahmadnagar ,27,MAHARASHTRA,26,350905,179755,171150,36712,19748,16964,287468,152819,134649,952,859,91.49,95.51,87.33,"19.0952075,74.7495916",51661,29832,21829
Aizawl ,15,MIZORAM,3,291822,143803,148019,35147,17667,17480,253588,125256,128332,1029,989,98.8,99.3,98.31,"23.727107,92.7176389",26832,14900,11932
Ajmer ,8,RAJASTHAN,21,542580,278786,263794,59437,31547,27890,422913,230586,192327,946,884,87.53,93.26,81.53,"26.4498954,74.6399163",77989,42454,35535
Akbarpur ,9,UTTAR PRADESH,47,111594,57560,54034,14037,7247,6790,75062,42208,32854,939,937,76.94,83.89,69.54,"26.4407468,82.5537514",9745,5811,3934
Akola ,27,MAHARASHTRA,5,427146,218184,208962,46500,24488,22012,347687,183594,164093,958,899,91.34,94.78,87.77,"20.7059345,77.0219019",49715,28812,20903
Alandur ,33,TAMIL NADU,3,164162,82190,81972,14486,7336,7150,142415,72755,69660,997,975,95.15,97.2,93.1,"12.9974873,80.2006371",45971,25463,20508
Alappuzha ,32,KERALA,11,174164,83888,90276,15434,7934,7500,153269,74454,78815,1076,945,96.56,98.03,95.21,"9.4980667,76.3388484",22263,9900,12363
Aligarh ,9,UTTAR PRADESH,12,872575,463123,409452,113658,60620,53038,533969,303886,230083,884,875,70.36,75.5,64.55,"27.8973944,78.0880129",99341,55965,43376
Allahabad ,9,UTTAR PRADESH,44,1117094,601363,515731,102556,54660,47896,877590,493181,384409,858,876,86.5,90.21,82.17,"25.4358011,81.846311",233129,138248,94881
Alwar ,8,RAJASTHAN,6,315310,166900,148410,34576,18862,15714,243634,138737,104897,889,833,86.78,93.72,79.05,"27.5529907,76.6345735",58764,35297,23467
Ambala ,6,HARYANA,2,196216,103533,92683,19645,10713,8932,155780,85004,70776,895,834,88.23,91.58,84.51,"30.3781788,76.7766974",34943,17809,17134
Ambala Sadar ,6,HARYANA,2,104268,54241,50027,9646,5239,4407,83236,43444,39792,922,841,87.97,88.66,87.22,"30.3248708,76.8432663",20618,10689,9929
Ambarnath ,27,MAHARASHTRA,21,254003,133006,120997,27465,14406,13059,201707,111273,90434,910,906,89.04,93.82,83.78,"19.1825167,73.1926023",26596,14444,12152
Ambattur ,33,TAMIL NADU,1,478134,241181,236953,45216,23065,22151,401253,208748,192505,982,960,92.69,95.71,89.62,"13.1143167,80.1480551",97186,52224,44962
Ambikapur ,22,CHHATTISGARH,2,114575,59673,54902,12995,6887,6108,89590,48950,40640,920,887,88.2,92.73,83.29,"23.1354921,83.1817856",20857,12369,8488
Ambur ,33,TAMIL NADU,4,113856,56052,57804,12150,6216,5934,88309,45439,42870,1031,955,86.83,91.18,82.65,"12.7903613,78.7166084",7813,5076,2737
Amravati ,27,MAHARASHTRA,7,646801,330544,316257,62497,32713,29784,543568,284490,259078,957,910,93.03,95.52,90.44,"20.9374238,77.7795513",91996,51456,40540
Amreli ,24,GUJARAT,13,105980,55166,50814,9885,5386,4499,85975,46721,39254,921,835,89.47,93.85,84.75,"21.6031774,71.2220832",11305,6579,4726
Amritsar ,3,PUNJAB,15,1132761,602754,530007,109540,60056,49484,872527,478062,394465,879,824,85.27,88.09,82.09,"31.6339793,74.8722642",140359,69241,71118
Amroha ,9,UTTAR PRADESH,6,197135,102804,94331,26855,13799,13056,108772,60621,48151,918,946,63.88,68.11,59.24,"28.9043537,78.4673426",13879,7635,6244
Anand ,24,GUJARAT,15,197351,102359,94992,19993,10631,9362,166211,88444,77767,928,881,93.71,96.42,90.82,"22.5645175,72.928871",29803,17331,12472
Anantapur ,28,ANDHRA PRADESH,22,262340,131506,130834,23630,12409,11221,195452,105452,90000,995,904,81.88,88.54,75.24,"14.6818877,77.6005911",43700,27392,16308
Anantnag ,1,JAMMU & KASHMIR,14,108505,56030,52475,18056,9633,8423,71408,39591,31817,937,874,78.95,85.33,72.23,"33.7311255,75.1487007",12666,7291,5375
Arrah ,10,BIHAR,29,261099,139319,121780,34419,18356,16063,189080,107822,81258,874,875,83.41,89.14,76.86,"25.5560443,84.6603307",35354,25045,10309
Asansol ,19,WEST BENGAL,9,564491,293748,270743,56014,29363,26651,431300,236683,194617,922,908,84.82,89.52,79.73,"23.6739452,86.9523954",65625,40231,25394
Ashoknagar Kalyangarh ,19,WEST BENGAL,11,123906,62554,61352,8885,4564,4321,106337,55398,50939,981,947,92.45,95.53,89.32,"22.84039,88.6241351",11992,7093,4899
Aurangabad ,10,BIHAR,33,101520,53307,48213,14292,7548,6744,75796,42338,33458,904,893,86.89,92.52,80.68,"24.7457189,84.3804888",13141,9371,3770
Aurangabad ,27,MAHARASHTRA,19,1171330,610377,560953,151827,81671,70156,908725,497404,411321,919,859,89.13,94.08,83.81,"19.8761653,75.3433139",159308,96576,62732
